Iteration	Posterior	Likelihood	Prior	rate_log_sd	root_freqs[1]	root_freqs[2]	tree_length
0	-6127.092	-6332.055	204.963	1.108722	0.700724	0.299276	3.925553
6	-6107.838	-6311.569	203.7313	1.116718	0.744794	0.255206	4.618697
12	-6130.84	-6334.874	204.0332	1.10571	0.744794	0.255206	4.455233
18	-6131.167	-6334.176	203.0092	0.9193075	0.735065	0.264935	5.131056
24	-6123.367	-6326.161	202.7945	0.9743372	0.790901	0.209099	5.219442
30	-6129.119	-6333.016	203.8971	0.9247963	0.732069	0.267931	4.633367
36	-6131.068	-6334.119	203.0506	1.017999	0.745133	0.254867	5.053408
42	-6123.757	-6327.476	203.7192	1.074044	0.726788	0.273212	4.649436
48	-6125.755	-6329.153	203.3984	0.9990164	0.718836	0.281164	4.87058
54	-6133.191	-6337.326	204.1351	1.043755	0.718836	0.281164	4.432757
60	-6127.769	-6333.84	206.0712	1.279622	0.76549	0.23451	3.180854
66	-6122.503	-6327.755	205.2521	1.254979	0.766235	0.233765	3.674868
72	-6124.669	-6330.76	206.0914	1.254979	0.708814	0.291186	3.183436
78	-6120.62	-6326.634	206.0145	1.244283	0.784895	0.215105	3.235359
84	-6129.104	-6334.283	205.179	1.197685	0.730417	0.269583	3.750213
90	-6132.198	-6337.091	204.8932	1.182711	0.725361	0.274639	3.923163
96	-6129.857	-6334.149	204.2915	1.091377	0.725361	0.274639	4.317591
102	-6134.575	-6338.384	203.809	1.085523	0.741099	0.258901	4.592614
108	-6132.23	-6336.181	203.9513	0.9774749	0.737582	0.262418	4.573436
114	-6129.287	-6333.204	203.9174	1.011357	0.737582	0.262418	4.573436
120	-6146.743	-6350.069	203.326	1.045063	0.762063	0.237937	4.885229
126	-6153.849	-6356.811	202.9619	0.9828136	0.760103	0.239897	5.122088
132	-6142.074	-6345.736	203.6616	0.9765405	0.748124	0.251876	4.736192
138	-6146.661	-6349.64	202.9795	1.083256	0.72189	0.27811	5.056627
144	-6139.602	-6344.441	204.8384	1.130882	0.77092	0.22908	3.984207
150	-6126.32	-6330.655	204.3346	1.057783	0.756277	0.243723	4.312228
156	-6136.306	-6340.331	204.0242	1.078287	0.743727	0.256273	4.475753
162	-6132.087	-6336.355	204.2679	1.076107	0.720245	0.279755	4.339535
168	-6140.111	-6342.86	202.749	1.050576	0.728747	0.271253	5.20247
174	-6130.689	-6332.664	201.9754	0.9187086	0.708634	0.291366	5.700907
180	-6123.434	-6326.629	203.1948	1.004087	0.732708	0.267292	4.981065
186	-6131.934	-6336.429	204.4957	1.123173	0.73175	0.26825	4.183859
192	-6133.787	-6338.645	204.8581	1.094932	0.7115	0.2885	3.993489
198	-6126.546	-6331.034	204.4881	1.053166	0.7115	0.2885	4.227866
204	-6141.363	-6344.527	203.1636	1.01047	0.722039	0.277961	4.994857
210	-6146.076	-6349.932	203.8554	1.050077	0.722039	0.277961	4.586467
216	-6130.652	-6335.304	204.6526	1.127511	0.787093	0.212907	4.092172
222	-6138.942	-6341.917	202.9748	0.9369463	0.788342	0.211658	5.140328
228	-6149.282	-6352.828	203.5464	1.046207	0.765654	0.234346	4.76165
234	-6141.462	-6346.554	205.0913	1.203876	0.752662	0.247338	3.797227
240	-6137.049	-6339.696	202.6472	0.973076	0.740884	0.259116	5.301545
246	-6137.832	-6341.033	203.2005	1.038555	0.770812	0.229188	4.958706
252	-6141.706	-6345.77	204.0637	1.077326	0.759622	0.240378	4.454043
258	-6150.772	-6354.912	204.14	1.22468	0.698761	0.301239	4.327865
264	-6137.007	-6340.721	203.7141	1.166665	0.72309	0.27691	4.600328
270	-6123.323	-6326.915	203.592	1.093823	0.677378	0.322622	4.709531
276	-6128.895	-6332.364	203.4685	1.040142	0.734181	0.265819	4.80856
282	-6136.814	-6340.57	203.7558	1.00954	0.734181	0.265819	4.665019
288	-6144.525	-6348.317	203.7911	0.9742859	0.7203	0.2797	4.665019
294	-6137.457	-6340.963	203.5061	1.083753	0.770376	0.229624	4.763184
300	-6112.27	-6316.178	203.9081	1.043225	0.770376	0.229624	4.560727
306	-6127.556	-6331.305	203.7492	0.9729774	0.770179	0.229821	4.689209
312	-6124.144	-6327.274	203.13	1.070739	0.739029	0.260971	4.980006
318	-6137.341	-6341.693	204.3519	0.9636677	0.765646	0.234354	4.35564
324	-6138.429	-6342.011	203.5821	1.010569	0.822251	0.177749	4.761612
330	-6141.736	-6346.283	204.5469	1.040186	0.697153	0.302847	4.201875
336	-6136.505	-6341.716	205.2112	1.249697	0.727681	0.272319	3.701578
342	-6133.51	-6337.166	203.6562	1.011766	0.777518	0.222482	4.719527
348	-6127.719	-6330.827	203.1076	0.9649736	0.741801	0.258199	5.051219
354	-6134.166	-6337.978	203.8111	0.9649736	0.741801	0.258199	4.659031
360	-6118.009	-6321.15	203.1408	1.075653	0.688558	0.311442	4.971289
366	-6125.123	-6329.893	204.7706	1.106745	0.772778	0.227222	4.036735
372	-6140.687	-6345.187	204.4998	1.02348	0.671265	0.328735	4.238103
378	-6133.647	-6337.876	204.2286	1.12903	0.717976	0.282024	4.331822
384	-6141.265	-6346.346	205.0812	1.079748	0.735147	0.264853	3.874376
390	-6133.058	-6337.738	204.6798	1.10509	0.776991	0.223009	4.089397
396	-6129.992	-6334.242	204.2505	0.9968166	0.716561	0.283439	4.394151
402	-6125.763	-6329.535	203.772	0.9848512	0.716561	0.283439	4.669772
408	-6124.439	-6328.188	203.7489	1.00805	0.755045	0.244955	4.669772
414	-6145.744	-6348.918	203.1738	1.071813	0.755045	0.244955	4.955052
420	-6128.291	-6331.666	203.3751	0.9882513	0.765256	0.234744	4.889535
426	-6145.049	-6349.893	204.8438	1.099024	0.765256	0.234744	3.999307
432	-6136.074	-6341.276	205.2017	1.061087	0.807297	0.192703	3.815836
438	-6126.746	-6331.552	204.8052	1.075479	0.75004	0.24996	4.034799
444	-6128.001	-6332.86	204.8594	1.10513	0.729428	0.270572	3.9869
450	-6133.059	-6336.876	203.8162	1.041455	0.732254	0.267746	4.613321
456	-6127.235	-6331.458	204.2226	1.117307	0.732254	0.267746	4.341883
462	-6129.563	-6334.546	204.9832	1.098886	0.765246	0.234754	3.919644
468	-6125.679	-6327.915	202.2359	1.009415	0.7436	0.2564	5.508138
474	-6126.197	-6331.037	204.8392	1.180428	0.77303	0.22697	3.955406
480	-6126.911	-6331.863	204.9514	1.123282	0.77303	0.22697	3.923842
486	-6127.24	-6332.362	205.1224	1.153915	0.756969	0.243031	3.808071
492	-6125.762	-6330.054	204.2922	1.140686	0.782806	0.217194	4.289263
498	-6141.735	-6346.083	204.3484	1.084539	0.689111	0.310889	4.289263
504	-6128.415	-6333.051	204.636	1.118827	0.760195	0.239805	4.106517
510	-6126.779	-6331.102	204.3235	1.098178	0.726568	0.273432	4.29562
516	-6131.897	-6335.893	203.9969	1.113728	0.697473	0.302527	4.471202
522	-6117.326	-6321.894	204.5681	1.114994	0.720109	0.279891	4.147368
528	-6120.588	-6324.252	203.6638	1.062896	0.717439	0.282561	4.686667
534	-6116.462	-6320.389	203.9276	1.081598	0.723799	0.276201	4.528252
540	-6117.342	-6322.396	205.0539	1.078323	0.764301	0.235699	3.890861
546	-6111.86	-6316.62	204.7596	1.086979	0.753103	0.246897	4.054282
552	-6127.784	-6332.935	205.151	1.124437	0.744985	0.255015	3.808576
558	-6130.31	-6335.982	205.6721	1.212209	0.789271	0.210729	3.45547
564	-6122.695	-6328.346	205.6509	1.233404	0.739383	0.260617	3.45547
570	-6123.495	-6329.052	205.5571	1.279387	0.739383	0.260617	3.483455
576	-6120.812	-6326.497	205.6848	1.252557	0.739383	0.260617	3.424479
582	-6137.277	-6342.322	205.0453	1.217115	0.801016	0.198984	3.816044
588	-6131.863	-6337.5	205.6373	1.165757	0.801016	0.198984	3.502921
594	-6116.678	-6321.831	205.1521	1.171508	0.801016	0.198984	3.780819
600	-6124.85	-6329.75	204.9003	1.052178	0.73323	0.26677	3.993811
606	-6127.172	-6332.755	205.5831	1.193454	0.742281	0.257719	3.518379
612	-6136.475	-6340.785	204.3098	1.070707	0.717568	0.282432	4.318912
618	-6119.207	-6323.105	203.8985	1.037212	0.718974	0.281026	4.56952
624	-6129.959	-6333.619	203.6598	1.043522	0.718974	0.281026	4.699788
630	-6143.961	-6349.612	205.6509	1.236639	0.756506	0.243494	3.453586
636	-6131.499	-6335.81	204.3109	1.154378	0.772547	0.227453	4.270968
642	-6129.129	-6332.203	203.0739	0.9764636	0.732096	0.267904	5.063501
648	-6130.827	-6333.908	203.0814	0.9690164	0.732247	0.267753	5.063501
654	-6118.598	-6324.491	205.8923	1.295439	0.773821	0.226179	3.277289
660	-6136.228	-6340.507	204.2785	1.136029	0.717708	0.282292	4.299646
666	-6136.879	-6342.859	205.9796	1.270955	0.717342	0.282658	3.240186
672	-6132.607	-6338.319	205.7117	1.230165	0.807926	0.192074	3.421802
678	-6130.741	-6335.813	205.072	1.060691	0.807926	0.192074	3.890611
684	-6123.983	-6328.931	204.9485	1.060691	0.75001	0.24999	3.961348
690	-6132.097	-6336.07	203.9733	1.065672	0.763481	0.236519	4.511508
696	-6121.293	-6325.672	204.3785	1.102431	0.762632	0.237368	4.262057
702	-6128.736	-6332.829	204.093	1.042791	0.760543	0.239457	4.457033
708	-6138.453	-6342.739	204.2862	1.002285	0.826865	0.173135	4.370883
714	-6138.99	-6344.001	205.0119	1.147077	0.797322	0.202678	3.875523
720	-6135.593	-6340.37	204.7766	1.147077	0.797322	0.202678	4.010283
726	-6138.232	-6343.362	205.1303	1.089779	0.688591	0.311409	3.84039
732	-6136.018	-6341.299	205.2809	1.113572	0.780435	0.219565	3.739986
738	-6141.926	-6347.563	205.637	1.247651	0.73795	0.26205	3.455314
744	-6138.913	-6342.326	203.4131	1.020846	0.681629	0.318371	4.850227
750	-6138.094	-6343.916	205.8215	1.133268	0.729589	0.270411	3.414292
756	-6128.207	-6333.014	204.8069	1.188845	0.693618	0.306382	3.969036
762	-6146.42	-6348.924	202.5035	1.02682	0.745066	0.254934	5.351184
768	-6138.28	-6342.167	203.8875	1.035142	0.762589	0.237411	4.576845
774	-6121.777	-6326.272	204.4947	1.071044	0.710465	0.289535	4.214023
780	-6123.482	-6328.004	204.5218	1.126594	0.710465	0.289535	4.167051
786	-6136.725	-6341.741	205.0157	1.182827	0.745025	0.254975	3.852807
792	-6134.456	-6338.366	203.91	1.135702	0.727853	0.272147	4.507731
798	-6134.221	-6339.505	205.2836	1.106998	0.727853	0.272147	3.742201
804	-6122.218	-6325.251	203.0328	0.893127	0.723324	0.276676	5.132527
810	-6129.994	-6332.307	202.3124	0.9383457	0.773143	0.226857	5.505118
816	-6119.757	-6323.465	203.7071	1.008047	0.71203	0.28797	4.69316
822	-6123.322	-6326.915	203.5935	1.04053	0.765395	0.234605	4.738509
828	-6135.61	-6339.825	204.2143	1.037927	0.776977	0.223023	4.391369
834	-6136.236	-6339.925	203.6889	1.094854	0.72421	0.27579	4.654737
840	-6126.491	-6330.683	204.1922	1.079309	0.712389	0.287611	4.380512
846	-6120.838	-6325.559	204.7205	1.098693	0.80836	0.19164	4.069861
852	-6111.42	-6316.64	205.2196	1.205418	0.808425	0.191575	3.722354
858	-6114.982	-6319.81	204.8281	1.11406	0.80505	0.19495	3.999705
864	-6117.238	-6321.813	204.5753	1.14674	0.76282	0.23718	4.125187
870	-6118.054	-6322.891	204.8367	1.142207	0.758441	0.241559	3.978681
876	-6131.277	-6335.452	204.1755	1.036439	0.811616	0.188384	4.414106
882	-6130.706	-6334.914	204.2075	0.9945153	0.740189	0.259811	4.419681
888	-6128.137	-6331.609	203.4715	1.065618	0.671235	0.328765	4.792662
894	-6124.959	-6329.086	204.1269	1.134182	0.821545	0.178455	4.386383
900	-6137.518	-6342.41	204.8919	1.281803	0.733648	0.266352	3.867074
906	-6137.197	-6342.649	205.4518	1.296168	0.712353	0.287647	3.535024
912	-6129.226	-6334.742	205.5161	1.231864	0.712353	0.287647	3.535024
918	-6130.881	-6335.079	204.1979	1.057233	0.712353	0.287647	4.389729
924	-6135.633	-6339.918	204.2848	1.074385	0.718185	0.281815	4.330955
930	-6134.765	-6338.887	204.122	1.088745	0.734615	0.265385	4.414785
936	-6129.679	-6334.318	204.6393	1.050017	0.75155	0.24845	4.143794
942	-6135.432	-6340	204.568	1.121356	0.724295	0.275705	4.143794
948	-6135.48	-6340.208	204.7274	1.103684	0.718132	0.281868	4.063084
954	-6146.432	-6350.972	204.54	1.152485	0.705548	0.294452	4.142041
960	-6132.597	-6336.967	204.3703	1.090518	0.756286	0.243714	4.273492
966	-6134.865	-6338.105	203.2399	1.030784	0.687237	0.312763	4.941132
972	-6121.915	-6325.143	203.2277	1.042958	0.726126	0.273874	4.941132
978	-6132.332	-6336.1	203.7679	1.023431	0.762452	0.237548	4.650502
984	-6134.714	-6339.068	204.3539	1.040313	0.775061	0.224939	4.311183
990	-6129.49	-6335.186	205.6964	1.160186	0.775061	0.224939	3.471677
996	-6144.938	-6349.605	204.6665	1.13681	0.78067	0.21933	4.078903
1002	-6136.45	-6338.886	202.436	0.9454911	0.70167	0.29833	5.433164
1008	-6129.876	-6332.625	202.749	0.9698915	0.765527	0.234473	5.247074
1014	-6132.402	-6333.954	201.5516	1.003335	0.775152	0.224848	5.886554
1020	-6132.086	-6334.493	202.4073	0.8925324	0.804963	0.195037	5.478143
1026	-6134.558	-6339.515	204.957	1.083586	0.776783	0.223217	3.943379
1032	-6152.232	-6356.708	204.4763	1.11468	0.773797	0.226203	4.199668
1038	-6142.025	-6346.548	204.522	1.201361	0.773797	0.226203	4.124434
1044	-6130.097	-6334.177	204.0807	1.075546	0.719781	0.280219	4.44549
1050	-6128.788	-6332.828	204.0405	1.115714	0.770247	0.229753	4.44549
1056	-6133.255	-6338.495	205.2395	1.131896	0.721857	0.278143	3.753294
1062	-6132.626	-6338.966	206.3392	1.302105	0.721857	0.278143	3.007573
1068	-6142.944	-6349.264	206.3197	1.207744	0.767523	0.232477	3.075724
1074	-6139.602	-6346.296	206.6939	1.246651	0.755867	0.244133	2.827025
1080	-6125.686	-6331.299	205.6126	1.126266	0.679635	0.320365	3.540359
1086	-6121.94	-6326.074	204.1344	1.126266	0.715008	0.284992	4.386615
1092	-6126.503	-6331.23	204.7271	1.075005	0.709956	0.290044	4.079641
1098	-6130.754	-6335.136	204.3825	1.146446	0.727974	0.272026	4.234848
1104	-6129.749	-6333.624	203.875	0.9452535	0.727974	0.272026	4.634262
1110	-6142.603	-6345.889	203.2856	1.043702	0.781812	0.218188	4.908472
1116	-6133.218	-6336.255	203.037	0.9605085	0.730184	0.269816	5.092833
